type,number,name,title,bidder,date,committee_mem1,committee_mem2,committee_mem3
EOI 1213,EOI,1213,Acconci Studio Inc,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Adam Frank Incorporated,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Aether & Hemera,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Agatha Gothe-Snape,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Alain Kirili,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Alex Seton,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Alexander Stublic,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Alwin Reamillo,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Amala Groom,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Andre Rondinelli de Almeida Mendes,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Andrew Burns Architect,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Anna Schwartz Gallery,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Anne Chu Studio Inc,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Anthony James Woodward,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Anthony McCall,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Antimodular Research Inc,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Antony Gormley Studio,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Architectural Graphics Pty Ltd,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Architecture and Vision,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Arteclettica,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
