lobbyist,year,years_active,name,gov_pos_dum,gov_pos_name,member_of_cong,cand_id,reg_is_firm,value,log_value,shannon_entropy,avg_value,all_shannon_entropy
"           Disclosure of Contract – Class 1 Contract
",1,04/2012 - SSROC, Corporate Express," PO Box 38145, Winnellie, Darwin NT 0821",N/A, 13 May 2013,May 2013 – May 2016 with two optional 12 month extensions at the; discretion of the Council,SSROC – Supply and Delivery of Copy Paper,Schedule of Rates,N/A,N/A,"Open Tender; Tender evaluation criteria included:; -   The schedule of prices; -   Consistency with the desired specification; -   Environmental management and consideration of sustainability issues;; environmental questionnaire, Environmental Certification, Country of Origin,; Bleaching Process, Pre/Post-Consumer Waste, Source(S) of Recycled; Content; -   Proven capacity to meet the contract based on past experience and capacity; to meet current service standards and methodology; Lead times for delivery,; Order Fill Systems, Buffer Stocks Held; -   Quality Management/ Assurance Systems; Quality Management System,; Quality Certification; -   Capacity to provide standard and custom reports; Standard reports, Custom; reports, Examples; -   Financial and commercial trading integrity including insurances; -   WHS requirement fulfilment",Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
"           Disclosure of Contract – Class 1 Contract
",1,04/2012 - SSROC, Fuji Xerox Australia Pty Ltd," Building D, Campus Business Park, 350-370 Parramatta Road,; Homebush NSW 2140",N/A, 13 May 2013,May 2013 – May 2016 with two optional 12 month extensions at the; discretion of the Council,SSROC – Supply and Delivery of Copy Paper,Schedule of Rates,N/A,N/A,"Open Tender; Tender evaluation criteria included:; -   The schedule of prices; -   Consistency with the desired specification; -   Environmental management and consideration of sustainability issues;; environmental questionnaire, Environmental Certification, Country of Origin,; Bleaching Process, Pre/Post-Consumer Waste, Source(S) of Recycled; Content; -   Proven capacity to meet the contract based on past experience and capacity; to meet current service standards and methodology; Lead times for delivery,; Order Fill Systems, Buffer Stocks Held; -   Quality Management/ Assurance Systems; Quality Management System,; Quality Certification; -   Capacity to provide standard and custom reports; Standard reports, Custom; reports, Examples; -   Financial and commercial trading integrity including insurances; -   WHS requirement fulfilment",Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
"           Disclosure of Contract – Class 2 Contract
",2,1. Quotation Number:; 0613, Regal Innovations Pty Ltd," PO Box 3040, Rouse Hill, Sydney, NSW 2155",N/A,5 March 2013,6 Months,"Jubilee Oval Drainage, Playing Surface and Irrigation Upgrade","$544,699.15exgst",N/A,N/A,"Open Tender which was resolved at Council meeting 10 December 2012 to; cancel which lead to Quotation; Quotation evaluation criteria included:; -   Relevant experience and technical ability; demonstrated experience; -   Demonstrated capacity, capabilities and qualifications; demonstrated; experience of key personnel and sub-contractors; -   Demonstrated capacity, capabilities and qualifications; allocation of; adequate resources; -   Demonstrated capacity, capabilities and qualifications; Current commitments; -   Proposed project program; Critical paths and detail tasks; -   Proposed project program; Lead times for supply items; -   Proposed methodology; Detailed description of the tasks necessary in the; construction of the works; -   Proposed methodology; Traffic and pedestrian management; -   Proposed methodology; Environmental management; -   Workplace Health & Safety; -   Financial and commercial trading integrity including insurances",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"           Disclosure of Contract – Class 2 Contract
",2,1245, REES Electrical Pty Ltd," PO Box 93, Mt Kuring-Gai, NSW 2080",N/A,4 March 2013,6 months,Wentworth Park Sportsfield Lighting,"$516,005.00exgst",N/A,N/A,"Open Tender which at Council Meeting 20 August 2012, decided to reject all; tenders & enter into negotiations, followed by CEO approval on 4th March 2013; Tender Evaluation Criteria included:; -   Financial stability and financial position of the tenderer; -   The lump sum and schedule of prices; -   Demonstrated experience in works of a similar nature; -   Resourcing – Key personnel, number of staff and subcontractors; -   Proposed project program; -   Proposed methodology including pedestrian management plan; -   Provision of warranties; -   Demonstrated capacity to fulfil the OHS&R and Environmental requirements; of the project",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"           Disclosure of Contract – Class 2 Contract
",2,1266, Sydney Civil Pty Ltd," 120 Turrella Street, Turrella NSW 2205",N/A,27 March 2013,Duration of 28 weeks,King Street Newtown Smartpoles Stage 2,"$2,018,944.00exgst",N/A,N/A,"Open Tender which was resolved at Council meeting dated 05 November 2012 to; reject all tenders and negotiate with final approval delegated to the CEO.; Tender evaluation criteria included:; -   Financial stability and financial position of the tenderer including insurances; -   The lump sum price and schedule of prices; -   Demonstrated capacity of the project manager, site manager and community; liaison officer, including but not limited to a function of qualifications,; experience and time dedicated to the project; -   Demonstrated capability of the sub-contractors, including but not limited to a; function of experience and performance on similar projects; -   Managerial capability and qualifications, including but not limited to the; effectiveness of quality assurance systems; -   The proposed methodology including but not limited to demonstration that; the work will be performed with minimum impacts to the function of the road; and footway; -   Environmental management initiatives and appropriate site resources; -   Demonstrated capacity to fulfil the WHS requirements of the project",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"           Disclosure of Contract – Class 1 Contract
",1,1267, Amanda Sharrad," 1/39 Midelton Avenue, North Bondi, NSW 2026",N/A, 13 May 2013, 18 Months,Green Square Curatorial Advisor Public Art,"$116,760.00exgst",N/A,N/A,Open Tender; Tender evaluation criteria included:; -   The lump sum and schedule of prices; -   Proposed curatorial approach and methodology; -   Demonstrated experience in public art and public domain projects and; technical ability to carry out the work; -   Capacity to achieve the required project program; -   Environmental management,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
"           Disclosure of Contract – Class 1 Contract
",1,1283, Cooper Commercial Constructions," Unit 4, 13-15 Forrester Street, Kingsgrove, NSW 2208",NA, Monday 25 March 2013, April 2013 – May 2013,Mary McDonald Activity Centre replacement of roof box gutters and associated; structures,"$131,710.00exgst",NA,NA,"Open Tender; Evaluation criteria included:; -    Demonstrated capacity and technical ability to carry out the work under the; contract; specific roofing and gutter experience and expertise; -    Demonstrated capacity and technical ability to carry out the work under the; contract; Company profile; current commitments for main and sub-; contractors; -    Demonstrated capacity and technical ability to carry out the work under the; contract; Plant and equipment available; -    Demonstrated managerial capability, qualifications, experience;; Quality/experience of lead contractor; -    Demonstrated managerial capability, qualifications, experience; nominated; individuals and number of personnel; -    Capacity to achieve the program; Program shows critical paths and detailed; tasks required to achieve deliverables for the project; -    Capacity to achieve the program; Materials used; -    The proposed methodology; Sequencing of the works; -    The proposed methodology; Traffic and pedestrian management; -    The proposed methodology; Storage of materials; -    Demonstrated capacity to fulfil the WHS and Environmental requirements of; the project; -    Financial and commercial trading integrity including insurances",Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
"           Disclosure of Contract – Class 1 Contract
",1,1286, Poles & Underground," 55 Vore Street, Silverwater NSW 2128",N/A, 9 September 2013,,Heffron Hall Electrical Substation and Associated Works,"$201,100.00 ex gst",N/A,N/A,"Open Tender which was resolved by Council at its meeting on 25 February 2013; to reject all tenders and enter into negotiations with suitable companies with; final approval by CEO on 9 September 2013; Tender evaluation criteria included:; -   Conformity with the request for tender; -   Financial stability and financial position of the tenderer, including insurances; -   The lump sum price and schedule of prices; -   Company profile and references; -   Specified personnel and subcontractors; -   Previous work experience and current commitments; -   Proposed program and methodology; -   Proposed pedestrian and traffic management plan, schedule of site; amenities, plant and equipment, warranties; -   Environmental management; -   Demonstrated capacity to fulfil the WHS requirements of the project",Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
"           Disclosure of Contract – Class 1 Contract
",1,1290, ECS Services Pty Ltd," Unit 11/10 Victoria Avenue, Castle Hill NSW 2154",NA, Monday 25 March 2013, March 2013 – June 2013,Security Systems Asset Renewal,"$364,152.65exgst",NA,NA,"Open Tender; Tender evaluation criteria included:; -    Evidence of sufficient, suitability qualified technicians to undertake the asset; renewal upgrade; -    Previous experience undertaking upgrades of live systems of a similar nature; -    Provided Gantt chart detailing the proposed program/schedule for system; upgrades; -    Detailed methodology identifying how upgrades will be undertaken with; minimal impact to onsite users; -    Demonstrated technician maintenance checklist demonstrating that system; components are checked during periodic maintenance; -    Environmental management plan provided specific to this project; -    Work, Health & Safety; -    Financial and commercial trading integrity including insurances",Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
"           Disclosure of Contract – Class 1 Contract
",1,1293, Benedict Sand & Gravel," 11 Narabang Way, Austlink Park, Belmore NSW 2085",N/A, 13 May 2013,May 2013 – May 2015 with the option of an extension of two years at; discretion of the Council,Supply & Delivery of Bulk Landscape Materials,"$203,279.83exgst",N/A,N/A,"Open Tender; Tender evaluation criteria included:; -   Financial stability and financial position of the tenderer; -   The Schedule of Rates; -   Warranties; -   Quality & source of material meeting Australian Standards or Equivalent; -   Experience in works/services of a similar nature, and a demonstrated; capacity and technical ability to supply under the contract; -   Environmental management; -   Work, Health & Safety",Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
